First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,AMB,3,1308.5534,16.15498025,0,11,0,0,25.84123457,22.72925926,28.95320988,6.223950617,2.740740741,680.73,762.2271,14.3816434,0,0,0,0,19.96481132,15.93981132,23.98981132,8.05,1.777358491,125.05
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,FACE,3,1224.0974,16.10654474,0,11,0,0,25.94,22.83723684,29.04276316,6.205526316,2.760526316,668.7,830.3887,14.82836964,0,0,0,0,20.56696429,16.55214286,24.58178571,8.029642857,1.864285714,135.71
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,AMB,3,1224.0974,16.10654474,0,11,0,0,25.94,22.83723684,29.04276316,6.205526316,2.760526316,668.7,499.1862,15.59956875,0,0,0,0,22.2109375,18.4159375,26.0059375,7.59,2.090625,104.33
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,FACE,3,1224.0974,16.10654474,0,11,0,0,25.94,22.83723684,29.04276316,6.205526316,2.760526316,668.7,499.1862,15.59956875,0,0,0,0,22.2109375,18.4159375,26.0059375,7.59,2.090625,104.33
Cai C,2016,2013,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1591.637,19.64983951,27,50,21,17,29.37598765,25.60234568,33.14962963,7.547283951,2.827160494,299.57,556.325,14.26474359,0,0,0,0,23.50897436,19.7025641,27.31538462,7.612820513,2.187179487,120.94
Cai C,2016,2013,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1583.9893,20.05049747,27,50,21,17,29.58436709,25.74936709,33.41936709,7.67,2.846835443,292.32,544.7477,13.96788974,0,0,0,0,23.5674359,19.82923077,27.30564103,7.476410256,2.187179487,123.89
Cai C,2016,2014,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,AMB,3,1155.8308,14.26951605,0,8,0,0,25.87320988,22.9591358,28.78728395,5.828148148,2.802469136,653.03,555.3232,13.88308,0,0,0,0,21.585375,18.22075,24.95,6.72925,2.0525,60.77
Cai C,2016,2014,Changshu,120.75,31.65,China,Hybrid Japonica,Changyou 5,MN,22.5,FACE,3,1118.6468,14.16008608,0,8,0,0,25.8893038,22.99012658,28.78848101,5.79835443,2.808860759,652.54,555.4992,13.88748,0,0,0,0,22.069125,18.7885,25.34975,6.56125,2.125,61.06
Li CH,2017,2013,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,AMB,3,1558.3154,19.23846173,20,47,13,9,28.90283951,25.44444444,32.36123457,6.916790123,2.886419753,392.34,757.3228,14.28910943,0,0,0,0,20.88330189,17.00830189,24.75830189,7.75,1.886792453,191.72
Li CH,2017,2013,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,FACE,3,1475.1316,19.40962632,20,47,13,9,29.29453947,25.87763158,32.71144737,6.833815789,2.956578947,384.47,826.6668,14.76190714,0,0,0,0,21.39821429,17.51464286,25.28178571,7.767142857,1.910714286,191.74
Li CH,2017,2014,Jiangdu,119.5,32.4,China,Japonica,Wuyunjing23,MN,22.5,AMB,3,1175.3585,14.51059877,0,11,0,0,25.62839506,22.75876543,28.49802469,5.739259259,2.772839506,592.51,735.3137,13.8738434,0,0,0,0,20.5504717,16.85113208,24.24981132,7.398679245,1.911320755,105.36
